Final,Actions,RIN,Agency,Sub,Priority,Init,Finish,Reviews,Reviewed,Init_d,Finish_d,pages,comments
1,7,0648-AX89,DOC,NOAA,"Substantive, Nonsignificant",2/18/10,9/29/10,0,0,18311,18534,50,57
1,4,0648-AY04,DOC,NOAA,"Substantive, Nonsignificant",4/27/10,8/9/10,0,0,18379,18483,9,0
1,3,0648-AY14,DOC,NOAA,"Substantive, Nonsignificant",4/20/10,8/12/10,0,0,18372,18486,6,6
1,3,0648-AY28,DOC,NOAA,"Substantive, Nonsignificant",8/10/10,9/16/10,0,0,18484,18521,2,1
1,8,0648-AY29,DOC,NOAA,"Substantive, Nonsignificant",2/1/10,5/1/10,0,0,18294,18383,21,0
1,8,0648-AY32,DOC,NOAA,"Substantive, Nonsignificant",3/4/10,7/22/10,0,0,18325,18465,7,14
1,4,0648-AY43,DOC,NOAA,"Substantive, Nonsignificant",4/27/10,6/28/10,0,0,18379,18441,18,4
1,8,0648-AY48,DOC,NOAA,"Substantive, Nonsignificant",5/3/10,11/5/10,0,0,18385,18571,4,2
1,3,0648-AY50,DOC,NOAA,"Substantive, Nonsignificant",4/2/10,6/24/10,0,0,18354,18437,3,6
1,4,0648-AY51,DOC,NOAA,"Substantive, Nonsignificant",2/19/10,6/14/10,0,0,18312,18427,3,0
1,4,0648-AY57,DOC,NOAA,"Substantive, Nonsignificant",3/30/10,6/2/10,0,0,18351,18415,4,259
1,4,0648-AY58,DOC,NOAA,"Substantive, Nonsignificant",4/20/10,6/23/10,0,0,18372,18436,3,0
1,2,0648-AY60,DOC,NOAA,"Substantive, Nonsignificant",5/5/10,5/20/10,0,0,18387,18402,12,0
1,5,0648-AY77,DOC,NOAA,"Substantive, Nonsignificant",12/2/09,7/2/10,0,0,18233,18445,8,0
1,3,0648-AY78,DOC,NOAA,"Substantive, Nonsignificant",4/29/10,5/4/10,0,0,18381,18386,11,0
1,4,0648-AY79,DOC,NOAA,"Substantive, Nonsignificant",6/14/10,11/8/10,0,0,18427,18574,4,4
1,2,0648-AY82,DOC,NOAA,"Substantive, Nonsignificant",5/1/10,5/4/10,0,0,18383,18386,6,0
1,4,0648-AY85,DOC,NOAA,"Substantive, Nonsignificant",7/6/10,10/18/10,0,0,18449,18553,8,4
1,4,0648-AY88,DOC,NOAA,Routine and Frequent,6/22/10,9/13/10,0,0,18435,18518,3,0
1,2,0648-AY94,DOC,NOAA,"Substantive, Nonsignificant",7/8/10,7/2/10,0,0,18451,18445,6,0
1,1,0648-BA00,DOC,NOAA,"Substantive, Nonsignificant",7/1/10,7/1/10,0,0,18444,18444,12,0
1,1,0648-BA05,DOC,NOAA,"Substantive, Nonsignificant",7/16/10,7/16/10,0,0,18459,18459,6,0
1,1,0648-BA10,DOC,NOAA,"Substantive, Nonsignificant",8/23/10,8/23/10,0,0,18497,18497,9,0
1,2,0648-BA12,DOC,NOAA,"Substantive, Nonsignificant",9/22/10,1/1/11,0,0,18527,18628,0,0
1,1,0648-AY20,DOC,NOAA,"Substantive, Nonsignificant",9/1/10,9/1/10,0,0,18506,18506,6,0
1,4,0648-AY66,DOC,NOAA,"Substantive, Nonsignificant",3/18/10,6/23/10,0,0,18339,18436,2,0
1,1,0651-AC08,DOC,PTO,Info./Admin./Other,6/25/10,6/25/10,0,0,18438,18438,2,0
1,1,0651-AC46,DOC,PTO,Info./Admin./Other,4/15/10,4/15/10,0,0,18367,18367,2,0
1,4,0691-AA73,DOC,BEA,"Substantive, Nonsignificant",4/9/10,7/22/10,0,0,18361,18465,3,0
1,3,0694-AE42,DOC,BIS,Other Significant,8/11/09,7/15/10,2,1,18120,18458,7,3
1,1,0694-AE56,DOC,BIS,"Substantive, Nonsignificant",6/28/10,6/28/10,1,1,18441,18441,6,0
1,2,0694-AE58,DOC,BIS,Other Significant,12/11/09,12/11/09,1,1,18242,18242,30,0
1,1,0694-AE64,DOC,BIS,Other Significant,3/25/10,3/25/10,1,1,18346,18346,8,0
1,4,0694-AE66,DOC,BIS,"Substantive, Nonsignificant",12/4/09,5/5/10,0,0,18235,18387,4,0
1,2,0694-AE69,DOC,BIS,"Substantive, Nonsignificant",6/4/10,6/16/10,0,0,18417,18429,7,0
1,2,0694-AE79,DOC,BIS,Other Significant,4/20/10,4/20/10,1,1,18372,18372,3,0
1,1,0694-AE86,DOC,BIS,"Substantive, Nonsignificant",5/14/10,5/14/10,0,0,18396,18396,4,0
1,1,0694-AE87,DOC,BIS,"Substantive, Nonsignificant",5/10/10,5/10/10,0,0,18392,18392,3,0
1,1,0694-AE88,DOC,BIS,"Substantive, Nonsignificant",5/28/10,5/28/10,0,0,18410,18410,3,0
1,2,0694-AE91,DOC,BIS,Other Significant,9/7/10,9/7/10,1,1,18512,18512,15,0
1,1,0694-AE92,DOC,BIS,"Substantive, Nonsignificant",6/28/10,6/28/10,0,0,18441,18441,7,0
1,1,0694-AE93,DOC,BIS,"Substantive, Nonsignificant",6/15/10,6/15/10,0,0,18428,18428,2,0
1,1,0694-AF00,DOC,BIS,"Substantive, Nonsignificant",9/2/10,9/2/10,0,0,18507,18507,4,0
1,4,0701-AA74,DOD,AF,Other Significant,7/15/09,10/28/10,1,1,18093,18563,4,0
1,4,0720-AB17,DOD,DODOASHA,Economically Significant,3/28/08,6/18/10,2,1,17619,18431,0,22
1,4,0720-AB20,DOD,DODOASHA,Other Significant,7/24/09,9/7/10,0,0,18102,18512,0,1
1,6,0720-AB26,DOD,DODOASHA,"Substantive, Nonsignificant",8/10/04,9/7/10,0,0,16293,18512,1,0
1,4,0720-AB29,DOD,DODOASHA,"Substantive, Nonsignificant",11/27/09,9/17/10,0,0,18228,18522,2,2
1,4,0720-AB32,DOD,DODOASHA,"Substantive, Nonsignificant",8/31/09,9/7/10,0,0,18140,18512,3,0
1,4,0720-AB33,DOD,DODOASHA,"Substantive, Nonsignificant",8/31/09,8/9/10,0,0,18140,18483,3,1
1,4,0720-AB34,DOD,DODOASHA,"Substantive, Nonsignificant",11/27/09,9/17/10,0,0,18228,18522,2,0
1,4,0720-AB35,DOD,DODOASHA,"Substantive, Nonsignificant",10/29/09,9/8/10,0,0,18199,18513,2,1
1,4,0720-AB36,DOD,DODOASHA,"Substantive, Nonsignificant",10/29/09,9/17/10,0,0,18199,18522,3,3
1,4,0720-AB45,DOD,DODOASHA,Economically Significant,2/9/10,12/27/10,1,1,18302,18623,16,0
1,4,0750-AE89,DOD,DARC,"Substantive, Nonsignificant",7/26/05,8/20/10,0,0,16643,18494,0,0
1,11,0750-AF13,DOD,DARC,Other Significant,7/12/05,4/8/10,2,1,16629,18360,6,175
1,9,0750-AF67,DOD,DARC,"Substantive, Nonsignificant",4/26/07,8/16/10,0,0,17282,18490,0,25
1,4,0750-AF72,DOD,DARC,Other Significant,12/7/07,6/8/10,1,1,17507,18421,6,2
1,5,0750-AF79,DOD,DARC,"Substantive, Nonsignificant",1/24/08,4/8/10,0,0,17555,18360,2,2
1,4,0750-AF81,DOD,DARC,"Substantive, Nonsignificant",7/15/09,6/8/10,0,0,18093,18421,0,0
1,5,0750-AG02,DOD,DARC,Other Significant,9/15/08,4/8/10,2,1,17790,18360,6,4
1,5,0750-AG13,DOD,DARC,Other Significant,12/18/08,6/21/10,1,1,17884,18434,4,9
1,5,0750-AG26,DOD,DARC,"Substantive, Nonsignificant",3/1/10,9/8/10,0,0,18322,18513,0,0
1,4,0750-AG27,DOD,DARC,"Substantive, Nonsignificant",7/29/09,8/10/10,0,0,18107,18484,3,0
1,5,0750-AG30,DOD,DARC,"Substantive, Nonsignificant",7/29/09,9/27/10,0,0,18107,18532,3,0
1,2,0750-AG34,DOD,DARC,"Substantive, Nonsignificant",10/19/09,10/19/09,0,0,18189,18189,2,0
1,5,0750-AG37,DOD,DARC,Other Significant,11/23/09,6/11/10,1,1,18224,18424,0,0
1,4,0750-AG41,DOD,DARC,Other Significant,1/20/10,10/1/10,1,1,18282,18536,3,0
1,2,0750-AG49,DOD,DARC,"Substantive, Nonsignificant",4/30/10,4/30/10,0,0,18382,18382,1,0
1,5,0750-AG50,DOD,DARC,Other Significant,11/23/09,9/8/10,1,1,18224,18513,1,0
1,2,0750-AG53,DOD,DARC,Other Significant,6/8/10,6/8/10,1,1,18421,18421,0,0
1,2,0750-AG54,DOD,DARC,Other Significant,8/10/10,8/10/10,1,1,18484,18484,0,0
1,4,0750-AG55,DOD,DARC,Other Significant,4/30/10,9/27/10,1,1,18382,18532,0,0
1,5,0750-AG61,DOD,DARC,"Substantive, Nonsignificant",2/24/10,9/8/10,0,0,18317,18513,1,0
1,5,0750-AG75,DOD,DARC,"Substantive, Nonsignificant",3/5/10,9/8/10,0,0,18326,18513,0,0
1,7,0790-AI58,DOD,OS,Economically Significant,9/30/09,1/18/11,2,1,18170,18645,0,0
1,6,0790-AI59,DOD,OS,Economically Significant,10/21/09,10/21/09,2,1,18191,18191,0,0
1,7,1810-AB06,ED,OESE,"Substantive, Nonsignificant",8/26/09,10/28/10,3,1,18135,18563,0,0
1,4,1820-AB63,ED,OSERS,"Substantive, Nonsignificant",8/12/09,6/16/10,0,0,18121,18429,0,0
1,3,1840-AD01,ED,OPE,Economically Significant,3/23/10,10/26/10,2,1,18344,18561,0,0
1,4,1840-AD02,ED,OPE,Economically Significant,6/18/10,7/1/11,2,1,18431,18809,0,0
1,3,1840-AD03,ED,OPE,Other Significant,7/20/10,11/1/10,2,1,18463,18567,0,0
1,4,1840-AD04,ED,OPE,Other Significant,7/26/10,7/1/11,2,1,18469,18809,0,0
1,3,1865-AA00,ED,OSDFS,Other Significant,3/16/10,6/18/10,0,0,18337,18431,0,0
1,3,1880-AA84,ED,OM,"Substantive, Nonsignificant",11/26/08,6/14/10,0,0,17862,18427,0,0
1,5,1904-AA90,DOE,EE,Economically Significant,11/24/06,4/16/10,2,1,17129,18368,126,116
1,5,1904-AB89,DOE,EE,"Substantive, Nonsignificant",7/27/09,10/2/10,0,0,18105,18537,13,45
1,1,1904-AC10,DOE,EE,"Substantive, Nonsignificant",5/14/10,5/14/10,0,0,18396,18396,4,0
1,3,1904-AC16,DOE,EE,Other Significant,3/11/10,6/7/10,2,1,18332,18420,4,1
1,1,1904-AC25,DOE,EE,"Substantive, Nonsignificant",7/22/10,7/22/10,0,0,18465,18465,0,0
1,4,1991-AB87,DOE,PR,Info./Admin./Other,6/15/10,12/10/10,0,0,18428,18606,6,0
1,3,1991-AB88,DOE,PR,Info./Admin./Other,1/7/10,5/26/10,0,0,18269,18408,4,0
1,4,1991-AB91,DOE,PR,Info./Admin./Other,6/9/10,12/6/10,0,0,18422,18602,5,0
1,1,1991-AB93,DOE,PR,Info./Admin./Other,7/9/10,7/9/10,0,0,18452,18452,3,0
1,3,0910-AF93,HHS,FDA,Economically Significant,6/11/07,4/14/10,2,1,17328,18366,1,0
1,5,0910-AG13,HHS,FDA,Other Significant,3/14/03,9/29/10,1,1,15778,18534,29,0
1,4,0910-AG33,HHS,FDA,Economically Significant,3/19/10,6/22/10,1,1,18340,18435,8,31
1,3,0938-AO82,HHS,CMS,Other Significant,11/23/07,4/23/10,1,1,17493,18375,5,0
1,4,0938-AO90,HHS,CMS,Other Significant,1/25/08,9/27/10,3,1,17556,18532,21,207
1,3,0938-AP57,HHS,CMS,Economically Significant,9/29/09,8/12/10,2,1,18169,18486,186,0
1,1,0938-AP66,HHS,CMS,Other Significant,4/23/10,4/23/10,1,1,18375,18375,0,0
1,4,0938-AP67,HHS,CMS,Other Significant,9/3/10,12/15/10,3,1,18508,18611,7,15
1,3,0938-AP69,HHS,CMS,Other Significant,7/15/09,8/11/10,2,1,18093,18485,38,26
1,4,0938-AP72,HHS,CMS,Other Significant,10/30/09,11/30/09,2,1,18200,18231,43,6
1,4,0938-AP73,HHS,CMS,Other Significant,10/30/09,5/28/10,3,1,18200,18410,26,0
1,3,0938-AP77,HHS,CMS,Economically Significant,10/22/09,4/15/10,2,1,18192,18367,150,113
1,3,0938-AP78,HHS,CMS,Economically Significant,1/13/10,7/28/10,2,1,18275,18471,279,1993
1,5,0938-AP80,HHS,CMS,Economically Significant,5/4/10,8/16/10,3,1,18386,18490,1419,639
1,1,0938-AP83,HHS,CMS,Economically Significant,4/30/10,4/30/10,1,1,18382,18382,0,0
1,4,0938-AP88,HHS,CMS,Economically Significant,7/23/10,1/1/11,2,1,18466,18628,118,0
1,1,0938-AP90,HHS,CMS,Other Significant,4/23/10,4/23/10,1,1,18375,18375,0,0
1,1,0938-AQ03,HHS,CMS,Economically Significant,6/2/10,6/2/10,1,1,18415,18415,0,0
1,1,0938-AQ04,HHS,CMS,Other Significant,5/26/10,5/26/10,1,1,18408,18408,0,32
1,4,0938-AQ06,HHS,CMS,Other Significant,6/28/10,1/18/11,2,1,18441,18645,14,0
1,1,0938-AQ08,HHS,CMS,Economically Significant,6/2/10,6/2/10,1,1,18415,18415,0,0
1,3,0970-AC37,HHS,ACF,Other Significant,12/8/08,7/2/10,1,1,17874,18445,34,0
1,3,0970-AC40,HHS,ACF,Other Significant,5/27/09,4/6/10,2,1,18044,18358,3,0
1,4,0991-AB58,HHS,OS,Other Significant,1/13/10,7/28/10,2,1,18275,18471,66,0
1,5,1601-AA57,DHS,OS,"Substantive, Nonsignificant",8/17/09,6/9/10,1,1,18126,18422,0,23
1,4,1615-AB80,DHS,USCIS,Economically Significant,6/11/10,11/23/10,2,1,18424,18589,1,233
1,1,1615-AB87,DHS,USCIS,Other Significant,8/9/10,8/9/10,0,0,18483,18483,3,0
1,11,1625-AA17,DHS,USCG,"Substantive, Nonsignificant",11/2/98,12/20/10,0,0,14185,18616,15,76
1,8,1625-AA58,DHS,USCG,"Substantive, Nonsignificant",4/26/00,12/27/10,0,0,14726,18623,8,33
1,6,1625-AA93,DHS,USCG,"Substantive, Nonsignificant",12/16/05,9/28/10,1,1,16786,18533,4,0
1,3,1625-AB13,DHS,USCG,"Substantive, Nonsignificant",4/28/09,5/26/10,0,0,18015,18408,8,5
1,4,1625-AB39,DHS,USCG,"Substantive, Nonsignificant",10/30/09,8/1/10,0,0,18200,18475,14,0
1,3,1625-AB43,DHS,USCG,"Substantive, Nonsignificant",4/15/10,7/20/10,0,0,18367,18463,13,0
1,5,1625-AB47,DHS,USCG,"Substantive, Nonsignificant",6/17/10,1/1/11,0,0,18430,18628,25,0
1,3,1651-AA58,DHS,USCBP,"Substantive, Nonsignificant",2/19/08,6/30/10,0,0,17581,18443,2,1
1,4,1651-AA74,DHS,USCBP,"Substantive, Nonsignificant",5/27/08,9/27/10,0,0,17679,18532,3,4
1,4,1651-AA79,DHS,USCBP,"Substantive, Nonsignificant",12/1/09,6/4/10,0,0,18232,18417,2,1
1,4,1652-AA62,DHS,TSA,"Substantive, Nonsignificant",7/21/09,9/24/10,0,0,18099,18529,30,1
1,5,1653-AA47,DHS,USICE,Other Significant,6/15/06,8/23/10,3,1,16967,18497,5,9
1,2,1660-AA72,DHS,FEMA,"Substantive, Nonsignificant",8/17/10,8/17/10,0,0,18491,18491,0,0
1,3,2502-AI73,HUD,OH,"Substantive, Nonsignificant",10/9/09,8/23/10,0,0,18179,18497,3,0
1,3,2502-AI81,HUD,OH,Other Significant,11/30/09,4/20/10,2,1,18231,18372,20,0
1,4,2502-AI49,HUD,OH,"Substantive, Nonsignificant",1/8/08,9/4/08,0,0,17539,17779,2,1
1,4,2506-AC28,HUD,CPD,"Substantive, Nonsignificant",7/22/09,4/6/10,0,0,18100,18358,2,0
1,3,2577-AC79,HUD,PIH,"Substantive, Nonsignificant",10/23/09,4/19/10,0,0,18193,18371,3,0
1,3,1004-AD96,DOI,BLM,Info./Admin./Other,10/3/08,5/17/10,0,0,17808,18399,4,1
1,3,1010-AD12,DOI,BOEM,Other Significant,3/6/07,4/19/10,1,1,17231,18371,24,0
1,3,1010-AD47,DOI,BOEM,"Substantive, Nonsignificant",7/31/09,5/4/10,0,0,18109,18386,6,3
1,1,1010-AD54,DOI,BOEM,"Substantive, Nonsignificant",4/28/10,4/28/10,0,0,18380,18380,9,0
1,8,1018-AT79,DOI,FWS,"Substantive, Nonsignificant",12/12/07,5/6/10,0,0,17512,18388,45,29
1,6,1018-AU88,DOI,FWS,"Substantive, Nonsignificant",6/29/09,12/2/10,0,0,18077,18598,40,23
1,6,1018-AV47,DOI,FWS,"Substantive, Nonsignificant",7/8/09,7/26/10,0,0,18086,18469,23,0
1,4,1018-AV48,DOI,FWS,"Substantive, Nonsignificant",10/21/08,5/13/10,0,0,17826,18395,207,18
1,6,1018-AV60,DOI,FWS,"Substantive, Nonsignificant",7/11/07,10/29/10,0,0,17358,18564,12,599
1,4,1018-AV76,DOI,FWS,"Substantive, Nonsignificant",12/24/08,9/16/10,0,0,17890,18521,30,1
1,4,1018-AW01,DOI,FWS,"Substantive, Nonsignificant",12/8/08,8/26/10,0,0,17874,18500,12,3
1,4,1018-AW16,DOI,FWS,"Substantive, Nonsignificant",7/16/09,9/24/10,0,0,18094,18529,11,4
1,6,1018-AW21,DOI,FWS,"Substantive, Nonsignificant",7/28/09,8/20/10,0,0,18106,18494,82,16
1,6,1018-AW22,DOI,FWS,"Substantive, Nonsignificant",6/10/09,11/8/10,0,0,18058,18574,65,14
1,6,1018-AW27,DOI,FWS,"Substantive, Nonsignificant",9/22/09,10/1/10,0,0,18162,18536,9,37
1,6,1018-AW30,DOI,FWS,"Substantive, Nonsignificant",1/29/09,6/30/10,0,0,17926,18443,54,68
1,4,1018-AW32,DOI,FWS,"Substantive, Nonsignificant",11/3/09,8/26/10,0,0,18204,18500,0,0
1,4,1018-AW38,DOI,FWS,"Substantive, Nonsignificant",12/8/08,8/26/10,0,0,17874,18500,10,3
1,4,1018-AW40,DOI,FWS,"Substantive, Nonsignificant",12/18/08,9/2/10,0,0,17884,18507,31,4
1,4,1018-AW42,DOI,FWS,"Substantive, Nonsignificant",5/15/09,5/24/10,0,0,18032,18406,11,3
1,4,1018-AW47,DOI,FWS,"Substantive, Nonsignificant",4/22/09,5/24/10,0,0,18009,18406,60,0
1,3,1018-AW49,DOI,FWS,"Substantive, Nonsignificant",12/29/09,4/12/10,0,0,18260,18364,15,5
1,5,1018-AW67,DOI,FWS,"Substantive, Nonsignificant",11/20/09,4/13/10,0,0,18221,18365,10,4
1,3,1018-AW77,DOI,FWS,"Substantive, Nonsignificant",10/14/09,10/14/10,0,0,18184,18549,0,3
1,4,1018-AX00,DOI,FWS,"Substantive, Nonsignificant",5/6/10,9/20/10,0,0,18388,18525,3,1
1,22,1018-AX06,DOI,FWS,Economically Significant,5/13/10,9/25/10,3,1,18395,18530,147,15
1,1,1018-AX09,DOI,FWS,Info./Admin./Other,5/28/10,5/28/10,0,0,18410,18410,3,0
1,1,1018-AX37,DOI,FWS,"Substantive, Nonsignificant",10/26/10,10/26/10,0,0,18561,18561,6,0
1,1,1029-AC62,DOI,OSMRE,"Substantive, Nonsignificant",9/29/10,9/29/10,0,0,18534,18534,6,0
1,1,1076-AE86,DOI,BIA,Info./Admin./Other,6/4/10,6/4/10,0,0,18417,18417,4,0
1,1,1093-AA11,DOI,OS,"Substantive, Nonsignificant",8/12/10,8/12/10,0,0,18486,18486,1,0
1,2,1093-AA12,DOI,OS,"Substantive, Nonsignificant",11/22/10,1/21/11,0,0,18588,18648,6,0
1,4,1094-AA53,DOI,OHA,"Substantive, Nonsignificant",3/8/07,11/19/10,0,0,17233,18585,16,0
1,2,1105-AB33,DOJ,LA,"Substantive, Nonsignificant",8/10/10,9/9/10,0,0,18484,18514,3,0
1,3,1110-AA26,DOJ,FBI,Other Significant,6/19/08,4/13/10,2,1,17702,18365,5,0
1,8,1117-AA64,DOJ,DEA,Other Significant,7/19/02,7/29/10,2,1,15540,18472,7,0
1,4,1117-AB10,DOJ,DEA,Other Significant,11/20/07,8/6/10,3,1,17490,18480,8,0
1,4,1117-AB16,DOJ,DEA,Other Significant,4/9/08,8/30/10,2,1,17631,18504,5,0
1,2,1117-AB26,DOJ,DEA,Info./Admin./Other,6/29/10,6/29/10,0,0,18442,18442,2,0
1,3,1120-AA39,DOJ,BOP,"Substantive, Nonsignificant",1/2/96,12/28/99,0,0,13150,14606,0,0
1,6,1121-AA76,DOJ,OJP,Other Significant,2/5/09,12/23/10,1,1,17933,18619,3,8
1,3,1125-AA67,DOJ,EOIR,Other Significant,10/28/09,12/22/09,0,0,18198,18253,0,0
1,9,1190-AA44,DOJ,CRT,Economically Significant,9/30/04,3/15/11,4,1,16344,18701,126,2839
1,9,1190-AA46,DOJ,CRT,Economically Significant,9/30/04,3/15/11,3,1,16344,18701,76,1657
1,3,1205-AB47,DOL,ETA,Other Significant,6/29/07,9/1/10,1,1,17346,18506,50,11
1,3,1205-AB48,DOL,ETA,Other Significant,8/14/08,9/1/10,2,1,17758,18506,50,380
1,4,1205-AB53,DOL,ETA,Other Significant,6/25/09,10/18/10,2,1,18073,18553,13,12
1,12,1210-AA54,DOL,EBSA,Economically Significant,4/8/97,2/28/05,6,1,13612,16495,0,0
1,5,1210-AB07,DOL,EBSA,Economically Significant,4/25/07,10/20/10,3,1,17281,18555,38,97
1,4,1210-AB15,DOL,EBSA,Other Significant,3/7/07,6/10/10,2,1,17232,18423,7,24
1,13,1218-AC01,DOL,OSHA,Economically Significant,7/16/02,8/9/10,2,1,15537,18483,275,1241
1,3,1235-AA01,DOL,WHD,Other Significant,4/17/07,5/20/10,1,1,17273,18402,0,0
1,5,1240-AA00,DOL,OWCP,Other Significant,8/18/09,4/5/10,0,0,18127,18357,0,0
1,4,1245-AA00,DOL,OLMS,Other Significant,8/3/09,6/21/10,0,0,18112,18434,36,0
1,4,1245-AA02,DOL,OLMS,Other Significant,2/2/10,1/3/11,1,1,18295,18630,124,0
1,1,1290-AA24,DOL,OS,Info./Admin./Other,10/15/10,10/15/10,0,0,18550,18550,2,0
1,3,1400-AC15,.,STATE,Other Significant,6/19/07,8/11/10,2,1,17336,18485,8,0
1,3,1400-AC59,.,STATE,Routine and Frequent,11/24/09,8/27/10,0,0,18225,18501,2,0
1,3,1400-AC62,.,STATE,Routine and Frequent,3/29/10,8/27/10,0,0,18350,18501,4,0
1,1,1400-AC63,.,STATE,Routine and Frequent,8/4/10,8/4/10,0,0,18478,18478,2,0
1,11,2105-AB87,DOT,OST,Other Significant,11/26/04,11/3/10,3,1,16401,18569,26,252
1,4,2105-AD50,DOT,OST,"Substantive, Nonsignificant",8/21/08,5/14/10,0,0,17765,18396,11,0
1,5,2105-AD88,DOT,OST,"Substantive, Nonsignificant",2/3/10,4/1/10,0,0,18296,18353,2,0
1,4,2105-AD95,DOT,OST,"Substantive, Nonsignificant",2/4/10,10/1/10,0,0,18297,18536,15,40
1,4,2105-AD98,DOT,OST,"Substantive, Nonsignificant",3/3/10,11/1/10,0,0,18324,18567,0,0
1,4,2105-AE00,DOT,OST,"Substantive, Nonsignificant",3/10/10,4/29/10,0,0,18331,18381,3,8
1,4,2105-AE01,DOT,OST,"Substantive, Nonsignificant",5/11/10,7/2/10,0,0,18393,18445,0,0
1,3,2105-AE02,DOT,OST,"Substantive, Nonsignificant",6/21/10,7/21/10,0,0,18434,18464,0,0
1,4,2120-AH31,DOT,FAA,Other Significant,6/13/06,1/18/11,1,1,16965,18645,16,0
1,9,2120-AI05,DOT,FAA,Other Significant,4/18/06,1/14/11,3,1,16909,18641,54,60
